xh,nf,ycs,yds,zjs,dys,yax,xsx,zgx,cyx,wfx,ylq,xlq,wjgq,djq,xtq,ycgxq,bz
1,2021年,731,137,15,29,0,20,11,495,3,8,/,0,11,1,1,
2,2022年,907,150,17,52,2,22,76,508,4,63,/,0,11,1,1,
3,2023年,908,150,17,52,2,22,76,508,4,64,0,0,11,1,1,
4,2024年,767,137,15,48,2,21,11,507,4,9,0,0,11,1,1,2021-2023年：规模场标准为设计存栏或设计出栏；2024年：规模场标准调整为设计出栏。
5,2025年,774,137,17,52,2,21,11,507,4,10,0,0,11,1,1,
