xh,nf,ycs,yds,zjs,dys,yax,xsx,zgx,cyx,wfx,ylq,xlq,wjgq,djq,xtq,ycgxq,bz
1,2021年,119,19,34,48,1,0,1,0,0,9,/,0,0,3,4,
2,2022年,126,23,36,45,1,0,3,0,0,11,/,0,0,3,4,
3,2023年,126,23,37,44,1,0,3,0,0,11,0,0,0,3,4,
4,2024年,113,19,35,44,1,0,1,0,0,8,0,0,0,1,4,2021-2023年：规模场标准为设计存栏或设计出栏；2024年：规模场标准调整为设计出栏。
5,2025年,114,19,36,44,1,0,0,0,0,9,0,0,0,1,4,
