xh,xsq,zhzs,zdzs,zywrw,sj
662,秭归县,3.92,1.46,PM2.5,2024.12
663,长阳县,4.11,1.69,PM2.5,2024.12
664,枝江市,4.64,1.71,PM2.5,2024.12
665,*西陵区,4.67,1.8,PM2.5,2024.12
666,*猇亭区,4.7,1.66,PM2.5,2024.12
667,*点军区,4.76,1.77,PM2.5,2024.12
668,当阳市,4.78,1.77,PM2.5,2024.12
669,宜都市,4.82,1.97,PM2.5,2024.12
670,*伍家岗区,4.88,1.91,PM2.5,2024.12
671,*夷陵区,4.89,1.8,PM2.5,2024.12
672,*高新区,5.53,2.11,PM2.5,2024.12
673,兴山县,3.62,1.37,PM2.5,2025.1
674,五峰县,4.12,1.57,PM2.5,2025.1
675,远安县,5.09,1.94,PM2.5,2025.1
676,秭归县,5.12,1.91,PM2.5,2025.1
677,*猇亭区,5.82,2.26,PM2.5,2025.1
678,长阳县,5.85,2.46,PM2.5,2025.1
679,枝江市,5.86,2.29,PM2.5,2025.1
680,*西陵区,5.86,2.43,PM2.5,2025.1
681,当阳市,5.93,2.31,PM2.5,2025.1
682,*夷陵区,6.08,2.46,PM2.5,2025.1
683,宜都市,6.09,2.63,PM2.5,2025.1
684,*点军区,6.09,2.57,PM2.5,2025.1
685,*伍家岗区,6.39,2.69,PM2.5,2025.1
686,*高新区,6.78,2.77,PM2.5,2025.1
687,兴山县,2.81,0.94,PM2.5,2025.2
688,五峰县,3.01,0.97,PM2.5,2025.2
689,远安县,3.72,1.23,PM2.5,2025.2
690,长阳县,3.75,1.4,PM2.5,2025.2
691,秭归县,3.77,1.17,PM2.5,2025.2
692,*点军区,3.9,1.43,PM2.5,2025.2
693,宜都市,4,1.6,PM2.5,2025.2
694,当阳市,4.03,1.34,PM2.5,2025.2
695,*西陵区,4.08,1.57,PM2.5,2025.2
696,*猇亭区,4.12,1.51,PM2.5,2025.2
697,枝江市,4.14,1.49,PM2.5,2025.2
698,*夷陵区,4.25,1.57,PM2.5,2025.2
699,*伍家岗区,4.28,1.57,PM2.5,2025.2
700,*高新区,4.69,1.8,PM2.5,2025.2
701,兴山县,2.56,0.71,PM2.5,2025.3
702,五峰县,2.73,0.71,PM2.5,2025.3
703,远安县,3.01,0.96,PM10,2025.3
704,长阳县,3.22,0.97,PM2.5,2025.3
705,*点军区,3.34,0.91,PM2.5,2025.3
706,秭归县,3.53,0.91,PM2.5,2025.3
707,*西陵区,3.57,1.06,PM2.5,2025.3
708,宜都市,3.61,1.14,PM2.5,2025.3
709,当阳市,3.7,1.13,PM10,2025.3
710,*夷陵区,3.77,1.06,PM2.5,2025.3
711,*高新区,3.85,1.11,PM2.5,2025.3
712,*猇亭区,3.87,1.2,PM2.5,2025.3
713,枝江市,3.95,1.2,PM2.5,2025.3
714,*伍家岗区,3.98,1.17,PM2.5,2025.3
715,五峰县,2.62,0.8,O3,2025.4
716,兴山县,2.82,0.79,PM10,2025.4
717,长阳县,3.28,1,O3,2025.4
718,远安县,3.28,1.1,PM10,2025.4
719,*夷陵区,3.42,0.94,O3,2025.4
720,*点军区,3.45,0.94,O3,2025.4
721,*西陵区,3.54,0.92,O3,2025.4
722,宜都市,3.58,1,PM10,2025.4
723,枝江市,3.67,1.03,PM2.5,2025.4
724,*高新区,3.76,0.97,PM2.5,2025.4
725,*猇亭区,3.81,0.97,"PM2.5,PM10",2025.4
726,秭归县,3.81,0.98,O3,2025.4
727,当阳市,4,1.14,PM2.5,2025.4
728,*伍家岗区,4.06,1.03,PM2.5,2025.4
729,五峰县,2.33,0.81,O3,2025.5
730,兴山县,2.63,0.92,O3,2025.5
731,长阳县,2.96,1.08,O3,2025.5
732,*夷陵区,3.06,0.96,O3,2025.5
733,*点军区,3.08,0.89,O3,2025.5
734,远安县,3.09,1.04,O3,2025.5
735,*西陵区,3.21,0.98,O3,2025.5
736,秭归县,3.36,1.03,O3,2025.5
737,*猇亭区,3.4,0.95,O3,2025.5
738,宜都市,3.42,1.01,O3,2025.5
739,*高新区,3.45,1.08,O3,2025.5
740,当阳市,3.46,1.04,O3,2025.5
741,*伍家岗区,3.58,0.89,O3,2025.5
742,枝江市,3.69,1.03,PM2.5,2025.5
743,五峰县,1.81,0.85,O3,2025.6
744,兴山县,1.94,0.93,O3,2025.6
745,长阳县,2.11,1.04,O3,2025.6
746,*夷陵区,2.15,0.94,O3,2025.6
747,*西陵区,2.22,0.94,O3,2025.6
748,远安县,2.3,0.93,O3,2025.6
749,当阳市,2.31,1,O3,2025.6
750,*点军区,2.36,0.97,O3,2025.6
751,*猇亭区,2.37,0.92,O3,2025.6
752,宜都市,2.49,0.99,O3,2025.6
753,*伍家岗区,2.55,0.94,O3,2025.6
754,枝江市,2.55,1.01,O3,2025.6
755,*高新区,2.69,0.99,O3,2025.6
756,秭归县,2.75,1.07,O3,2025.6
757,五峰县,1.53,0.65,O3,2025.7
758,兴山县,1.61,0.79,O3,2025.7
759,长阳县,1.8,0.89,O3,2025.7
760,远安县,1.89,0.82,O3,2025.7
761,*西陵区,1.93,0.89,O3,2025.7
762,*夷陵区,1.93,0.89,O3,2025.7
763,当阳市,1.98,0.85,O3,2025.7
764,宜都市,2.01,0.91,O3,2025.7
765,*点军区,2.03,0.9,O3,2025.7
766,*猇亭区,2.09,0.89,O3,2025.7
767,枝江市,2.12,0.76,O3,2025.7
768,*伍家岗区,2.18,0.83,O3,2025.7
769,*高新区,2.31,0.92,O3,2025.7
770,秭归县,2.45,0.86,O3,2025.7
771,五峰县,1.48,0.63,O3,2025.8
772,兴山县,1.55,0.7,O3,2025.8
773,长阳县,1.78,0.88,O3,2025.8
774,远安县,1.88,0.79,O3,2025.8
775,*夷陵区,1.94,0.82,O3,2025.8
776,宜都市,1.96,0.85,O3,2025.8
777,*猇亭区,2.05,0.74,O3,2025.8
778,*西陵区,2.05,0.89,O3,2025.8
779,*点军区,2.09,0.97,O3,2025.8
780,当阳市,2.11,0.78,O3,2025.8
781,秭归县,2.13,0.81,O3,2025.8
782,枝江市,2.14,0.71,O3,2025.8
783,*伍家岗区,2.15,0.81,O3,2025.8
784,*高新区,2.36,0.94,O3,2025.8
