xh,xzqf,njsl,ysnxb,ydnxb,fgdj,nf
112,全市,89.1689,417.9,-24.7,-30.1,2022年
113,宜都市,7.2738,533.7,-12.6,-25.9,2023年
114,当阳市,5.7947,272.3,14,4.8,2023年
115,枝江市,5.5835,409.3,8.9,-0.3,2023年
116,远安县,8.4396,482.3,87.3,29.3,2023年
117,兴山县,18.9174,812 .3,145.6,41.6,2023年
118,秭归县,17.9948,743,83.9,13.7,2023年
119,长阳土家族自治县,20.8317,607.9,16.3,-21.9,2023年
120,五峰土家族自治县,22.1061,935.1,53.7,8,2023年
121,夷陵区,17.562,519.9,39.5,-6.7,2023年
122,西陵区,0.3441,386.6,2 3,-29.8,2023年
123,伍家岗区,0.2788,410,5.5,-9,2023年
124,猇亭区,0.5393,460.9,16,6.3,2023年
125,点军区,2.6456,490.8,-1.4,-29.4,2023年
126,全市,128.3114,601.3,43.9,0.5,2023年
127,宜都市,5.4703,401.3,-24.8,-44.3,2024年
128,当阳市,2.6643,125.2,-54,-51.8,2024年
129,枝江市,3.1658,232.1,-43.3,-43.4,2024年
130,远安县,2.8031,160.2,-66.8,-57,2024年
131,兴山县,8.9179,382.9,-52.9,-33.2,2024年
132,秭归县,10.8487,447.9,-39.7,-31.4,2024年
133,长阳土家族自治县,17.6496,515,-15.3,-33.8,2024年
134,五峰土家族自治县,15.8659,671.1,-28.2,-22.5,2024年
135,夷陵区,11.7063,346.5,-33.4,-37.8,2024年
136,西陵区,0.2265,254.5,-34.2,-53.8,2024年
137,伍家岗区,0.1541,226.6,-44.7,-49.7,2024年
138,猇亭区,0.2585,220.9,-52.1,-49,2024年
139,点军区,1.8479,342.8,-30.2,-50.7,2024年
140,全市,81.5789,382.3,-36.4,-36.1,2024年
