FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
夷陵区-樟村坪镇-殷家坪村/夷陵区-樟村坪镇-犁耳坪村/夷陵区-樟村坪镇-秦家坪村/夷陵区-雾渡河镇-龚家河村/夷陵区-雾渡河镇-小庙村/夷陵区-雾渡河镇-清江坪村/夷陵区-雾渡河镇-三隅口村/夷陵区-雾渡河镇-雾渡河社区居委会/夷陵区-黄花镇-杨家河村/夷陵区-黄花镇-中岭村/夷陵区-黄花镇-张家口村/夷陵区-黄花镇-新坪村/夷陵区-黄花镇-黄花场社区居委会/夷陵区-小溪塔街道-柏木坪村委会,581,6,83,雾渡河,1
夷陵区-黄花镇-上洋村/夷陵区-黄花镇-新坪村,19,7,10,白洋坪河（白洋河）,1
夷陵区-黄花镇-上洋村/夷陵区-黄花镇-新坪村,10,7,6,樊其河（干沟子河）,1
夷陵区-黄花镇-香龙山村/夷陵区-黄花镇-新坪村/夷陵区-黄花镇-上洋村,26,7,10,内滩河,1
夷陵区,91,7,22,小峰河,1
夷陵区-下堡坪乡-马宗岭村/夷陵区-黄花镇-中岭村/夷陵区-黄花镇-杜家坪村/夷陵区-黄花镇-小峰河村,22,8,9,东河（小峰河东支）,1
夷陵区-黄花镇-杜家坪村/夷陵区-黄花镇-牛坪村/夷陵区-下堡坪乡-马宗岭村,12,8,7,邓家湾河（深溪）,1
夷陵区,14,7,4,小河沟,1
夷陵区,10,7,2,万家沟河,1
夷陵区-雾渡河镇-观音堂村/夷陵区-雾渡河镇-小庙村/夷陵区-雾渡河镇-雾渡河社区居委会/夷陵区-雾渡河镇-清江坪村,77,7,14,黄家河,1
夷陵区-雾渡河镇-小庙村,13,8,5,鹞子河,1
夷陵区-雾渡河镇-马卧泥村/夷陵区-雾渡河镇-龚家河村,33,7,12,彭家河,1
夷陵区-樟村坪镇-樟村坪社区居委会/夷陵区-樟村坪镇-桃坪河村/夷陵区-雾渡河镇-龚家河村,32,7,9,夏家河,1
夷陵区-樟村坪镇-犁耳坪村/夷陵区-樟村坪镇-秦家坪村,26,7,6,谭家沟河（黑湾沟）,1
夷陵区-黄花镇-军田坝村/夷陵区-黄花镇-黄花场社区居委会,31,6,9,军田坝河（官验河）,1
夷陵区,15,6,7,五柱溪（五桂河）,1
夷陵区,10,6,1,刘家冲河,1
夷陵区-分乡镇-天坑村/夷陵区-分乡镇-高场村/夷陵区-分乡镇-普溪河村,52,6,11,猫子河（普溪河）,1
夷陵区,23,6,8,十字沟河（十字沟）,1
夷陵区,28,6,8,插旗冲（水木溪）,1
夷陵区-雾渡河镇-三隅口村/夷陵区-雾渡河镇-西北口村,12,6,2,司家沟,1
夷陵区-雾渡河镇-交战垭村/夷陵区-雾渡河镇-三隅口村/夷陵区-雾渡河镇-西北口村,26,6,10,玉林溪,1
夷陵区,11,6,6,冷水溪,1
夷陵区,11,6,4,王家台子河,1
夷陵区-雾渡河镇-交战垭村/夷陵区-雾渡河镇-西北口村,35,6,9,黑沟子河,1
夷陵区-分乡镇-界岭村/远安县-嫘祖镇-荷花店村,37,6,7,淹伞溪（俞家河）,1
远安县,14,6,5,关门口河,1
远安县,14,6,7,杉木溪,1
远安县,30,6,11,盐池河,1
远安县,11,6,3,窑河,1
远安县,19,6,3,干沟子河（乾沟河）,1
五峰自治县-牛庄乡-牛庄村/五峰自治县-牛庄乡-池南村,14,6,2,鄢家沟,1
远安县,24,6,9,神龙河,1
远安县,11,7,5,桃郁河,1
夷陵区-樟村坪镇-砦沟村/远安县-嫘祖镇-晒旗村,37,6,12,晒旗河（晒溪河）,1
远安县,20,6,3,老龙洞河,1
夷陵区-樟村坪镇-古村村/夷陵区-樟村坪镇-黄马河村,79,6,25,黄马河,1
夷陵区-樟村坪镇-丁家河村/夷陵区-樟村坪镇-云霄垭村/夷陵区-樟村坪镇-栗林河村/夷陵区-樟村坪镇-黄马河村,63,6,17,栗林河,1
夷陵区-樟村坪镇-董家河村/夷陵区-樟村坪镇-古村村/夷陵区-樟村坪镇-黄马河村/夷陵区-樟村坪镇-三堡垭村/夷陵区-分乡镇-界岭村/夷陵区-分乡镇-棠垭村/夷陵区-雾渡河镇-西北口村/夷陵区-分乡镇-南岔湾村/夷陵区-分乡镇-大中坝村/夷陵区-分乡镇-高家堰村/夷陵区-分乡镇-普溪河村/夷陵区-分乡镇-分乡场社区居委会/夷陵区-黄花镇-姜家畈村/夷陵区-黄花镇-黄花场社区居委会,1936,2,243,黄柏河,1
夷陵区,20,7,6,董家河,1
长阳自治县,17260,2,430,清江,1
五峰自治县,53,7,13,龙王河（万子河）,1
五峰自治县-牛庄乡-金山坪村/五峰自治县-牛庄乡-池南村,103,6,20,沽洞溪（王家河）,1
长阳自治县,906,6,86,泗渡河,1
长阳自治县,323,7,33,叶溪河（长丰河）,1
秭归县-水田坝乡-马营村/秭归县-水田坝乡-三溪河村,118,8,18,咸池河,1
长阳自治县,39,9,11,干溪河,1
长阳自治县,43,8,14,落家河,1
长阳自治县,18,8,7,洞头沟,1
长阳自治县,44,8,16,松木垭河（小叶溪河）,1
长阳自治县-榔坪镇-文家坪村/长阳自治县-榔坪镇-秀峰桥村/长阳自治县-榔坪镇-八角庙村/长阳自治县-榔坪镇-沙地村/长阳自治县-榔坪镇-茶园村,177,7,28,干河沟,1
长阳自治县,28,8,7,白虎溪,1
长阳自治县,72,6,19,枝柘河,1
长阳自治县,16,7,6,戴家冲,1
长阳自治县,132,6,29,小昌平河,1
五峰自治县,35,7,10,谭家河（小昌平河）,1
五峰自治县,416,6,48,泗洋河,1
五峰自治县,26,7,6,廖叶池,1
五峰自治县,12,8,2,南湾河（南家湾）,1
五峰自治县,50,7,9,中溪,1
五峰自治县,18,7,5,白水河,1
五峰自治县,113,7,20,黑炭河（渔泉河）,1
五峰自治县,13,8,4,三叉溪,1
长阳自治县,20,6,4,张家坳河,1
长阳自治县,15,6,5,长冲沟,1
五峰自治县-五峰镇-石梁司村,445,6,49,天池河,1
五峰自治县,19,7,4,红渔潭,1
五峰自治县,15,8,4,五道水,1
五峰自治县,31,7,15,前河,1
五峰自治县,20,7,5,楠木河,1
五峰自治县,45,7,13,中溪河（五峰）,1
当阳市,7326,2,80,沮漳河,1
当阳市,63,6,15,老堰冲,1
当阳市-河溶镇-红联村/当阳市-河溶镇-前华村/当阳市-河溶镇-民新村/当阳市-河溶镇-建国村/当阳市-河溶镇-前合村,83,6,13,莫家大湾河,1
当阳市-河溶镇-红明村/当阳市-河溶镇-丁场村/当阳市-河溶镇-官垱村/当阳市-河溶镇-红日村/当阳市-河溶镇-红胜村/当阳市-淯溪镇-绿林山村,45,6,16,谭家港（忠志港）,1
当阳市-淯溪镇-洪桥铺村/当阳市-淯溪镇-胜利村/当阳市-淯溪镇-曹岗村/当阳市-淯溪镇-洪锦村/当阳市-淯溪镇-脚东村/当阳市-淯溪镇-刘河村/当阳市-淯溪镇-勤丰村,79,6,24,李家冲,1
当阳市-淯溪镇-洪锦村/当阳市-淯溪镇-脚东村,16,7,7,余家谭河（八百垱）,1
当阳市-淯溪镇-马店村/当阳市-淯溪镇-八景坡村/当阳市-淯溪镇-春新村/当阳市-淯溪镇-龙井村/当阳市-淯溪镇-中山村/当阳市-淯溪镇-胜利村/当阳市-淯溪镇-联合村/当阳市-淯溪镇-光明村/当阳市-淯溪镇-洪桥铺村,70,6,22,淯溪河,1
当阳市-淯溪镇-春新村/当阳市-淯溪镇-龙井村,11,7,5,曹家楼河,1
当阳市-淯溪镇-马店村/当阳市-淯溪镇-八景坡村,13,6,5,李家沟,1
当阳市-淯溪镇-廖家垭村,45,6,20,臭水河,1
当阳市-庙前镇-李店村/当阳市-庙前镇-沙河村/当阳市-庙前镇-林桥村/当阳市-庙前镇-烟集村/当阳市-庙前镇-井岗村/当阳市-庙前镇-清坪河村/当阳市-淯溪镇-林河村,133,6,36,瓦家河,1
当阳市-庙前镇-山峰村/当阳市-庙前镇-沙河村,16,7,5,苏家沟,1
当阳市-庙前镇-石马村/当阳市-庙前镇-山峰村,23,7,8,上咀河,1
当阳市-庙前镇-李店村/当阳市-庙前镇-庙前村/当阳市-庙前镇-山峰村/当阳市-庙前镇-沙河村/当阳市-庙前镇-长春村/当阳市-庙前镇-鞍山村/当阳市-庙前镇-李湾村/当阳市-庙前镇-旭光村,100,6,34,马鞍河,1
