xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
41,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
42,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
43,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
44,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
45,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
46,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
47,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,总磷(0.04),1,0.026,--,2024年3月
48,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
49,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年3月
50,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年3月
51,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年3月
52,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,93.50%,高锰酸盐指数(0.08),1,6.5,下雨、面源污染,2024年3月
53,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,93.50%,氨氮(0.02),1,1.02,下雨、面源污染,2024年3月
54,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,93.50%,总磷(0.14-0.215),2,0.228-0.243,下雨、面源污染,2024年3月
55,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
56,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.50%,高锰酸盐指数(0.7),1,6.8,下雨、面源污染,2024年3月
57,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.50%,总磷(0.29-1.05),2,0.129-0.205,下雨、面源污染,2024年3月
58,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
59,湖库,市控,善溪冲水库,善溪冲水库,猇亭区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年3月
60,湖库,市控,官庄水库,官庄水库,夷陵区,Ⅲ类,Ⅱ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年3月
61,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
62,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
63,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
64,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,总磷(0.04),1,0.104,下雨、面源污染,2024年4月
65,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
