xh,px,xsq,jsntqzf,bqsj
144,,全市平均,-7.8,2024年1～10月
145,1,五峰县,-17.9,2024年1～11月
146,2,伍家岗区,-16.1,2024年1～11月
147,3,秭归县,-14,2024年1～11月
148,4,长阳县,-13.5,2024年1～11月
149,5,远安县,-13.2,2024年1～11月
150,6,点军区,-12.7,2024年1～11月
151,7,西陵区,-11.1,2024年1～11月
152,8,高新区,-10.7,2024年1～11月
153,9,猇亭区,-6.7,2024年1～11月
154,10,枝江市,-5.6,2024年1～11月
155,11,宜都市,-5.1,2024年1～11月
156,12,兴山县,-2.8,2024年1～11月
157,13,夷陵区,2,2024年1～11月
158,14,当阳市,3.6,2024年1～11月
159,,国家考核区域,-9.1,2024年1～11月
160,,全市平均,-9.6,2024年1～11月
161,1,五峰县,-14.6,2024年1～12月
162,2,*伍家岗区,-13.6,2024年1～12月
163,3,秭归县,-13.3,2024年1～12月
164,4,长阳县,-12.7,2024年1～12月
165,5,*高新区,-11.7,2024年1～12月
166,6,*西陵区,-10.5,2024年1～12月
167,7,远安县,-9.3,2024年1～12月
168,8,*点军区,-8.8,2024年1～12月
169,9,*猇亭区,-6.5,2024年1～12月
170,10,枝江市,-5.3,2024年1～12月
171,11,宜都市,-4.8,2024年1～12月
172,12,兴山县,-2.6,2024年1～12月
173,13,*夷陵区,0,2024年1～12月
174,14,当阳市,5.2,2024年1～12月
175,,国家考核区域,-8.6,2024年1～12月
176,,全市平均,-7.4,2024年1～12月
177,1,宜都市,14.4,2025年1～2月
178,2,*夷陵区,17,2025年1～2月
179,3,*猇亭区,19.5,2025年1～2月
180,4,五峰县,22,2025年1～2月
181,5,枝江市,22.8,2025年1～2月
182,6,当阳市,26.4,2025年1～2月
183,7,*伍家岗区,26.7,2025年1～2月
184,8,*西陵区,29.9,2025年1～2月
185,9,长阳县,30.7,2025年1～2月
186,10,兴山县,31.8,2025年1～2月
187,11,*高新区,32.5,2025年1～2月
188,12,*点军区,43.7,2025年1～2月
189,13,秭归县,54.9,2025年1～2月
190,14,远安县,69.5,2025年1～2月
