BAS_AD_NAME,BAS_AREA,BAS_GRAD,BAS_NAME
秭归县,84,6,泄滩河
当阳市/夷陵区,136,6,泉河
长阳县,19,6,泉溪河
五峰自治县,417,6,泗洋河
长阳县/五峰自治县,734,4,泗洋河片区
宜昌市/恩施州,523,6,泗渡河
五峰自治县,375,4,洈水（南河）
宜都市,20,6,洋溪
宜都市,64,6,洛溪河
长阳县,18,8,洞头沟
兴山县,20,8,洞头沟（兴山）
长阳县,33,6,流溪
猇亭区/当阳市,62,6,淯溪河
猇亭区/夷陵区,21,7,深溪河
远安县,37,6,淹伞溪
远安县,15,6,淹伞溪北支（淹伞溪）
宜昌市/恩施州,5616,2,清江
长阳县/宜都市,1366,3,清江下游单元
长阳县/宜都市,564,4,清江下游片区
点军区/夷陵区/长阳县/五峰自治县/宜都市,7476,1,清江流域
点军区/夷陵区/长阳县/五峰自治县/宜都市,7476,2,清江片区
秭归县,537,2,清港河
秭归县,653,4,清港河片区
远安县/当阳市,54,6,清溪
长阳自治县,25,6,渔泉溪
五峰自治县,1222,3,渔洋河
五峰自治县/宜都市,731,4,渔洋河上游片区
宜都市,977,4,渔洋河下游片区
五峰自治县/宜都市,1708,3,渔洋河单元
宜都市,24,6,渔洋溪
远安县,43,6,温家河
五峰自治县,332,6,湾潭河
远安县,12,6,漳沐峪
远安县/当阳市,972,4,漳河片区
夷陵区/西陵区,21,6,潘家河
兴山县,30,6,火连沟
夷陵区/当阳市,18,6,熊家冲
远安县,25,6,熊家河
远安县,30,6,牛脑壳河
夷陵区,52,6,猫子河
夷陵区,26,6,玉林溪
当阳市,88,6,玉泉河
夷陵区,57,6,王家冲
宜都市,81,7,王家咀河
点军区,35,7,王家坝河
夷陵区/兴山县,295,6,王家河
当阳市/枝江市/高新区,742,2,玛瑙河
枝江市/夷陵区/当阳市,1348,3,玛瑙河单元
枝江市/夷陵区/当阳市,1348,4,玛瑙河片区
当阳市,133,6,瓦家河
秭归县,22,7,田家湾河
宜都市,11,6,申家溪
兴山县/夷陵区,19,7,界岭河
宜都市,19,6,白岩溪
秭归县,49,6,白布溪
长阳县,36,6,白氏溪
夷陵区,19,7,白洋坪河
宜都市,29,6,白洪溪
点军区,10,7,白玉河
长阳县,29,8,白虎溪
宜都市,8,6,白马溪
五峰自治县,22,7,白鹤园河
夷陵区,140,6,百岁溪
五峰自治县,154,6,百溪河
夷陵区,17,7,百石溪
枝江市,40,6,百里洲渠
枝江市,230,4,百里洲片区
当阳市/枝江市,180,6,百里长渠
远安县,30,6,盐池河
长阳县,75,6,石城河
点军区,24,7,石堰河
宜都市,15,7,石板河
当阳市,20,7,石龙冲
宜都市,31,7,碾子河
夷陵区,12,7,磨子溪
远安县/夷陵区,23,6,神龙河
点军区,60,7,福安河
夷陵区,40,7,秦家河
秭归县,245,6,童庄河
猇亭区/兴山县,152,6,竹园河
远安县,40,6,笕口河
夷陵区/兴山县,67,7,简家河
兴山县,27,6,粮山沟
点军区,11,6,紫阳河
远安县,45,7,红岩河
当阳市,71,6,红岩河（当阳）
远安县,115,6,红岩河（远安）
宜昌市/恩施州,42,7,红渡口河（刀枪河）
夷陵区,21,6,红溪河
长阳土家族自治县,42,7,纳溪（重溪）
远安县,18,6,纸房溪
兴山县,45,6,罗家河
远安县,84,6,罗汉峪沟
远安县/当阳市,24,7,羊尾河
当阳市,51,6,老堰冲
秭归县/长阳自治县,94,6,老林河
远安县,20,6,老龙洞河
枝江市,18,7,聂家冲
点军区,39,6,联棚河
远安县,19,7,胡家冲沟
猇亭区/当阳市,0,6,臭水河
兴山县/秭归县,395,6,良斗河
兴山县/秭归县,579,4,良斗河片区
长阳自治县,14,8,芦溪
宜都市,69,7,芭荒河
枝江市,220,7,花庙河
当阳市,16,7,苏家沟
秭归县,124,6,茅坪河
五峰自治县/宜都市,376,3,荆南四河单元
五峰自治县/宜都市,376,2,荆南四河片区
猇亭区/当阳市,80,6,莫家大湾河
长阳县,43,8,落家河
宜都市,13,6,董家沟
夷陵区,20,7,董家河
枝江市,90,6,蒋家冲
长阳县,14,6,虎溪沟
远安县,37,6,裴家冲
宜都市,7,7,裴饶冲
枝江市,67,6,西干渠
夷陵区,133,7,西河
夷陵区,35,6,西盆河
当阳市,10,6,许家冲
长阳自治县,102,7,谢家冲（泡麻溪）
长阳县,173,6,谢家河
夷陵区,26,7,谭家沟河
点军区,7,8,谭家河
五峰自治县,106,6,谭家河（小昌平河）
宜昌市/荆门市,43,6,谭家港
远安县,50,6,贾家寺沟（瓦屋湾沟）
长阳自治县,8,8,赴难溪
宜昌市/襄阳市,29,6,通城河
长阳自治县,11,6,避难溪
夷陵区,12,8,邓家湾河
秭归县,43,7,邓家湾河（秭归）
夷陵区/西陵区,19,6,郭家冲
宜昌市/荆州市,109,6,采穴河
夷陵区/兴山县,83,7,野马洞河
夷陵区,21,7,铜锣寨沟
兴山县,20,7,锁子沟
秭归县,189,6,锣鼓洞河
长阳县,15,6,长冲沟
宜昌市,20265,1,长江
枝江市/西陵区/伍家岗区/猇亭区/夷陵区/远安县/兴山县/秭归县/五峰自治县/宜都市/当阳市,13754,1,长江流域
秭归县,373,2,长江流域秭归段
宜都市,37,6,长沟（全福河）
夷陵区/当阳市,22,7,陈家冲
秭归县,44,6,陈家沟
长阳自治县,16,8,陡低河
夷陵区/当阳市,37,6,院子河
枝江市,59,7,陶家河
长阳自治县,28,7,随母溪
长阳县/五峰自治县,3692,3,隔河岩水库单元
长阳县/五峰自治县,2416,4,隔河岩水库片区
夷陵区,14,6,雷家河
枝江市,40,6,青狮港
宜都市,63,6,青龙溪
兴山县/秭归县,2338,2,香溪河
夷陵区/兴山县/秭归县,3457,3,香溪河单元
夷陵区/兴山县/秭归县,1514,4,香溪河片区
枝江市,23,9,马家湖
长阳自治县,30,6,马磨河
当阳市,100,6,马鞍河
夷陵区,27,6,高家溪
夷陵区/兴山县/秭归县,923,4,高岚河片区
远安县,33,6,高庄河
猇亭区,33,6,高马河
枝江市,50,6,鲁家大港
兴山县,21,7,鲜家河
枝江市/当阳市,220,6,鲜家港
远安县,83,6,鸣凤河（宝华寺河）
夷陵区,13,8,鹞子河
远安县,88,6,鹿苑河
远安县,50,6,麻洋河
夷陵区,77,7,黄家河
夷陵区/兴山县/秭归县,37,6,黄家河（兴山）
五峰自治县,18,7,黄家湾河
夷陵区/远安县,1895,2,黄柏河
夷陵区/远安县,2334,3,黄柏河上游单元
西陵区/伍家岗区/猇亭区/夷陵区,858,3,黄柏河下游单元
西陵区/伍家岗区/夷陵区,362,4,黄柏河下游片区
夷陵区/远安县,1861,4,黄柏河东西支片区
西陵区/伍家岗区/猇亭区/夷陵区/远安县,3192,2,黄柏河片区
猇亭区/夷陵区,54,6,黄马河
夷陵区,35,6,黑沟子河
夷陵区,30,7,黑潭沟
五峰自治县,114,7,黑炭河
夷陵区,172,5,龙泉河
夷陵区/兴山县,86,6,龙潭沟
宜都市,33,7,龙潭河（李家河）
远安县,43,6,龙潭河（远安）
五峰自治县,21,7,龙王河
兴山县,26,7,龙门河
秭归县,45,6,龙马溪
