xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
197,/,湖北柏年国际旅行社有限责任公司,宜昌市西陵区石子岭路28号葛洲坝青少年宫二楼门面（215-220）,境内旅游业务、 入境旅游业务,2990379  6214446,
198,/,宜昌陈氏国际旅行社有限责任公司,湖北省宜昌市西陵区学院街道解放路52号A栋,境内旅游业务、 入境旅游业务,"6971889
6760420",
199,/,湖北全景国际旅行社有限公司,宜昌市伍家岗区同强路7号万豪中心C区2栋7层000713号,境内旅游业务、 入境旅游业务,6218733     8866686,
200,/,湖北君汇国际旅行社有限公司,湖北省宜昌市西陵区学院街道解放路52号A栋,境内旅游业务、 入境旅游业务,6234590,
201,/,宜昌智荟旅游有限公司,宜昌市长阳土家族自治县龙舟坪镇（长阳清江电商物流创业园）长阳大道255-1,境内旅游业务、 入境旅游业务,13886661289 18971573586,
202,/,宜昌嗨行国际旅游有限公司,宜昌市宜都市陆城锦绣江南37栋111号商铺（自主申报）,境内旅游业务、 入境旅游业务,4607499  4833121,
203,/,湖北省品游国际旅行社有限责任公司,宜昌市伍家岗区东山大道139号,境内旅游业务、 入境旅游业务,6620366 6678066,
204,/,湖北旅韵国际旅行社有限公司,湖北省宜昌市伍家岗区楚天高速公路宜昌收费站管理所西侧100米,境内旅游业务、 入境旅游业务,6388708  6388718,
205,/,宜昌交运集团客运有限公司,宜昌市伍家岗区花艳路3号,境内旅游业务、 入境旅游业务,6915010  6915002,
206,/,宜昌橙子国际旅行社有限公司,宜昌市西陵区东山大道109-021201号,境内旅游业务、 入境旅游业务,6212007  6212611,
207,/,五峰欧之旅旅行社有限责任公司,湖北省宜昌市五峰土家族自治县渔洋关镇胜利路100号,境内旅游业务、 入境旅游业务,5193686 5750100,
208,/,宜昌市凯娜旅行社有限公司,宜昌市夷陵区太平溪镇伍相庙村望洋商住楼 020102室,境内旅游业务、 入境旅游业务,7510777 7510888,
209,/,湖北鄂西风情国际旅行社有限公司,湖北省宜昌市猇亭区古老背街道金岭路59号盛世天下1栋,境内旅游业务、 入境旅游业务,6972572  6976625,
210,/,宜昌臻游国际旅行社有限公司,宜昌市西陵区东山大道109-021903号,境内旅游业务、 入境旅游业务,6214288 6718900,
211,/,宜昌夷道畅游旅行社有限公司,湖北省宜昌市宜都市陆城鲟龙水街1F-071号二楼,境内旅游业务、 入境旅游业务,4771111 4881111,
212,/,湖北吾家国际旅行社有限责任公司,宜昌市伍家岗区白沙路1号吾家大酒店B栋七层701号,境内旅游业务、 入境旅游业务,6931444  6931456,
213,/,鸿运国际旅行社（湖北）有限公司,湖北省宜昌市伍家岗区沿江大道特168-7号万达广场C座1820室,境内旅游业务、入境旅游业务,6973978   6973976,
214,/,湖北硒道主国际旅行社有限公司,湖北省宜昌市伍家岗区城东大道112号1栋16层1602室,境内旅游业务、入境旅游业务,6238678 6569968,
215,/,云顶国际旅行社（湖北）有限公司,湖北省宜昌市点军区江南大道178号磨基山旅游综合体A6门面,境内旅游业务、入境旅游业务,6554148 6620003,
216,/,紫荆花（湖北）国际旅行社有限责任公司,宜昌市西陵区解放路52-1801B号,境内旅游业务、入境旅游业务,6760706 6760908,
217,/,湖北悠途国际旅行社有限公司,宜昌市西陵区解放路52号A座1510室,境内旅游业务、入境旅游业务,3990928 3990929,
218,/,湖北易道和国际旅行社有限公司,湖北省宜昌市西陵区果园二路8号,境内旅游业务、入境旅游业务,6921593 6921595,
219,/,湖北鼎义国际旅行社有限公司 ,湖北省宜昌市伍家岗区城东大道92号11栋012416室,境内旅游业务、入境旅游业务,6238678 6569968,
220,/,湖北飞越国际旅行社有限公司,宜昌市伍家岗区沿江大道特168-6号万达广场B2401号,境内旅游业务、入境旅游业务,6920396 6920496,
221,/,湖北逸景国际旅行社有限公司,宜昌市伍家岗区伍临路3-1-1202号,境内旅游业务、入境旅游业务,6998255 6976682,
222,/,湖北省港中国际旅行社有限公司,宜昌市伍家岗区沿江大道特168-6号B栋1311室,境内旅游业务、入境旅游业务,6916433 6976373,
223,/,湖北山河国际旅行社有限责任公司,宜昌市西陵区培心路1号华银大厦B1208,境内旅游业务、入境旅游业务,6030944 6444558,
224,/,宜昌胜隆国际旅行社有限公司,宜昌市伍家岗区桔乡路501号共同大厦10楼12号,境内旅游业务、入境旅游业务,6212265 6499288,
225,/,湖北逸途旅行社有限公司,湖北省宜昌市西陵区西陵二路169号1号楼主楼1层102,境内旅游业务、入境旅游业务,6976100 6938533,
226,/,湖北鑫旅程旅行社有限公司,北省宜昌市高新区大连路33号清华科技园5号楼B座306,境内旅游业务、入境旅游业务,8584663 8584665,
227,/,宜昌聚一文化旅游有限公司,湖北省宜昌市夷陵区小溪塔街道龙泉山村南津关路8号,境内旅游业务、入境旅游业务,7202560 8862161,
228,/,宜昌欣玺国际旅行社有限公司,湖北省宜昌市西陵区四新路1-202号,境内旅游业务、入境旅游业务,6710589 8866861,
229,/,湖北省粤楚国际旅行社有限公司,宜昌市西陵区解放路8号宜贸大楼三楼3B16号,境内旅游业务、入境旅游业务,6255001 6902230,
230,/,五峰山通服务管理有限公司,五峰土家族自治县渔洋关镇柴埠溪路3号（御庭湾小区2栋0单元305铺）（增设经营场所：五峰土家族自治县五峰镇沿河东路100号）,境内旅游业务、入境旅游业务,5825338 5915999,
231,/,宜昌润华国际旅行社有限公司,湖北省宜昌市伍家岗区东站路169号共和景晨创业中心A栋27楼,境内旅游业务、入境旅游业务,6440001 6440002,
232,/,湖北交投三江文旅康养发展有限公司,宜都市陆城街道三江路6号（自主申报）,境内旅游业务、入境旅游业务,4826666 4739616,
233,/,宜昌市几木旅游有限责任公司,湖北省宜昌市点军区五龙三路8号0341幢第101号商铺,境内旅游业务、入境旅游业务,6211213 6211833,
234,/,宜昌市雪杉天辙旅游有限公司,湖北省宜昌市点军区锦绣城南小区商业A-D110,境内旅游业务、入境旅游业务,6265558 6266538,
235,/,宜昌洲际国际旅行社有限公司,湖北省宜昌市伍家岗区沿江大道130号1栋1单元1605室,境内旅游业务、入境旅游业务,6902369 6262699,
236,/,宜昌江河国际旅行社有限公司,湖北省宜昌市西陵区体育场路41-2号,境内旅游业务、入境旅游业务,6930953 6930872,
237,/,宜昌尚旅旅游发展有限公司,中国（湖北）自贸区宜昌片区大连路33号11栋1单元17层1707室,国内旅游业务、入境旅游业务,6730068,
238,/,湖北途途国际旅行社有限公司,宜昌高新区城东大道60号鸿华时代b座1302,国内旅游业务、入境旅游业务,"6211432
6217959",
239,/,景通文旅科技（宜昌）有限公司,中国（湖北）自贸区宜昌片区大连路9号太平鸟创意园A320A,国内旅游、入境旅游业务,"6739557
6748228",
240,/,湖北惠旅假期国际旅行社有限公司,中国（湖北）自贸区宜昌片区城东大道21号3栋2单元1802室,国内旅游、入境旅游业务,"6730868
6943308",
241,/,宜昌翘楚旅行社有限公司,中国（湖北）自贸区宜昌片区发展大道57-6号三峡云计算大厦产业大楼15层05号房,境内旅游业务、入境旅游业务,"6213658
6218938",
242,/,宜昌东方假日国际旅游有限责任公司,中国（湖北）自贸区宜昌片区大连路33号,国内旅游业务、入境旅游业务,6241413 6448500,
243,/,宜昌何李旅行社有限责任公司,中国（湖北）自贸区宜昌片区港城路16号安旺九龙城科研楼502室,国内旅游业务、入境旅游业务,6710877 6694710,
244,/,宜昌永耀电力集团有限责任公司,宜昌高新区城东大道42号,国内旅游业务、入境旅游业务,6786096 6786282,
245,/,湖北有方文化旅游有限公司,湖北省宜昌高新区大连路33号清华科技园11栋1001室,国内旅游业务、入境旅游业务,"6058456
6058457",
246,/,宜昌优游旅行社有限公司,宜昌高新区城东大道与东运路交汇处恒大帝景2号办公楼,国内旅游业务、入境旅游业务,6392596,
247,/,湖北坤发国际旅行社有限公司,湖北省宜昌高新区发展大道57-6号A座10层03号,境内旅游业务、入境旅游业务,6216550,
248,/,湖北省美景国际旅行社有限责任公司,湖北省宜昌高新区发展大道57号6栋2单元2104、2105室,境内旅游业务、入境旅游业务,"6581788
6980220",
249,/,湖北楚越国际旅行社有限公司,湖北省宜昌高新区城东大道60号鸿华SOHO时代1单元8层010803号,境内旅游业务、入境旅游业务,6280089   6212223,
250,/,锦途国际旅行社（湖北）有限责任公司,湖北省宜昌高新区桔乡路519-28号010403室,境内旅游业务、入境旅游业务,6366008  6398008,
251,/,宜昌想游国际旅行社有限公司,宜昌市发展大道16号金德瑞酒店20楼2001,国内旅游业务、入境旅游业务,6381185 6357730,
