xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
45,/,宜昌新华旅行社有限责任公司,宜昌市沿江大道125号,国内旅游业务、入境旅游业务,6230000,
46,/,宜昌金峡国际旅行社有限责任公司,湖北省宜昌市西陵区西陵一路51号,国内旅游业务、入境旅游业务,6753370,
47,/,枝江市迅安达旅行社有限责任公司,枝江市马家店团结路81号,国内旅游业务、入境旅游业务,4225757 4226266,
48,/,湖北乐景游国际旅行社有限公司,伍家岗城东大道旭光商贸大厦5楼 508室,国内旅游业务、入境旅游业务,6215556,
49,/,宜昌江南旅行社有限公司,宜昌市解放路52号（时代广场A座1809室）,国内旅游业务、入境旅游业务,6760406 6905222 ,
50,/,宜昌市春秋旅行社有限责任公司,当阳市玉阳街道办事处广家洲路77号,国内旅游业务、入境旅游业务,3230008,
51,/,宜昌中国青年旅行社,宜昌市云集路21号金龙大厦,国内旅游业务、入境旅游业务,6910805 6238866,
52,/,宜昌市葛洲坝康养运营有限公司,宜昌市西陵区夜明珠路57号,国内旅游业务、入境旅游业务,8866666 6723831,
53,/,湖北京宜假期国际旅行社有限责任公司,宜昌市西陵区发展大道97-41号,国内旅游业务、入境旅游业务,15997695045,
54,/,宜昌美维国际旅行社有限公司,宜昌市伍家岗区胜利一路8-5号,国内旅游业务、入境旅游业务,6060056 6760046 ,
55,/,宜昌普瑞斯国际旅行社有限公司,宜昌市西陵区珍珠路69号（盈嘉酒店21楼）,国内旅游业务、入境旅游业务,6908113,
56,/,枝江市天地源旅行社有限责任公司,枝江市马家店镇民主路北段,国内旅游业务、入境旅游业务,4502666,
57,/,宜昌华天旅行社有限公司,宜昌市西陵区西陵一路8号（现代城市广场B309）,国内旅游业务、入境旅游业务,13972029305,
58,/,湖北维多利亚国际旅行社有限公司,湖北省宜昌市猇亭区金猇路181号-127,国内旅游业务、入境旅游业务,6755471,
59,/,宜昌启航旅行社有限责任公司,宜昌市西陵区东山大道107号卓悦广场B幢1209室,国内旅游业务、入境旅游业务,13135819328,
60,/,宜昌市金桥旅行社有限公司,宜昌市西陵区镇平路39号,国内旅游业务、入境旅游业务,6214111,
61,/,宜昌职工旅行社,宜昌市西陵区福绥路33号,国内旅游业务、入境旅游业务,6223280 6223305,
62,/,宜昌市卓越旅行社有限公司,宜昌市西陵区西陵一路8号（现代城市广场A212）,国内旅游业务、入境旅游业务,6452212,
63,/,宜昌蓝天旅行社有限责任公司,宜昌市西陵区珍珠路42-1号,国内旅游业务、入境旅游业务,6455106 6287698,
64,/,宜昌飞扬旅行社有限责任公司,宜昌市西陵区朝阳路90号平湖馨苑A区16-204室,国内旅游业务、入境旅游业务,6464819  13986791884,
65,/,宜昌市行天下旅行社有限公司,宜昌市胜利一路6号-12,国内旅游业务、入境旅游业务,6231168,
66,/,宜昌交运集团宜都旅行社有限公司,宜都市姚家店镇陆渔大道12号,国内旅游业务、入境旅游业务,4828508,
67,/,湖北周游国际旅行社有限公司,宜昌市西陵区东山大道2-1号商贸写字楼502房,国内旅游业务、入境旅游业务,6444333,
68,/,宜昌市天娇旅行社有限责任公司,宜昌市伍家岗区城东大道92号月星国际城B3B4号楼1单元8层010803号,国内旅游业务、入境旅游业务,6234708 6234588,
69,/,宜昌三江假期旅行社有限责任公司,宜昌市高新区大连路33号,国内旅游业务、入境旅游业务,6342303,
70,/,宜昌市海峰旅行社有限公司,宜昌市伍家岗区白沙路1号,国内旅游业务、入境旅游业务,6558582,
71,/,五峰柴埠溪旅行社有限责任公司,五峰渔洋关镇曹家坪村五组,国内旅游业务、入境旅游业务,5751519,
72,/,宜昌昌耀旅行社有限责任公司,宜昌市夷陵区东城路5号,国内旅游业务、入境旅游业务,7822921,
73,/,宜昌七彩之旅旅行社有限责任公司,宜昌市西陵区夷陵大道106号A栋,国内旅游业务、入境旅游业务,,
74,/,宜昌天缘旅行社有限责任公司,宜昌市东山大道66号,国内旅游业务、入境旅游业务,6123377,
75,/,宜昌运通铁旅假期旅行社有限责任公司,宜昌市夷陵区乐天溪镇朱家湾村1组,国内旅游业务、入境旅游业务,7516123,
76,/,宜昌纵横之旅旅行社有限责任公司,宜昌市沿江大道 129号（房产交易中心楼上）,国内旅游业务、入境旅游业务,6947003,
77,/,宜昌环宇旅行社有限公司,宜昌市伍家岗区夷陵大道135-3-202号（昭君花园）,国内旅游业务、入境旅游业务,6221988,
78,/,宜昌游天下国际旅行社有限公司,宜昌市夷陵区三峡路,国内旅游业务、入境旅游业务,7855570 7855592 7711999,
79,/,宜昌五洲假日旅行社有限公司,宜昌市西陵区西湖路25号（D1栋）,国内旅游业务、入境旅游业务,6855114,
80,/,宜昌领航国际旅行社有限公司,西陵区环城南路9－2－802号（紫晶城）,国内旅游业务、入境旅游业务,6908785,
81,/,宜昌海外旅行社有限公司,宜昌市解放路52号(三峡商城A座1301室),国内旅游业务、入境旅游业务,6760115,
82,/,宜昌博达旅行社有限公司,宜昌市伍家岗区桔城路17号,国内旅游业务、入境旅游业务,6443000,
83,/,湖北景秀假期国际旅行社有限公司,宜昌市西陵一路19号亚洲广场C座1204,国内旅游业务、入境旅游业务,6770802 6223009,
84,/,宜昌神州假期旅行社有限公司,宜昌市西陵区西陵一路19-1-2-2905号,国内旅游业务、入境旅游业务,13032737785,
85,/,宜昌美程旅行社有限公司,宜昌市沿江大道特168-5号万达广场A座1805室,国内旅游业务、入境旅游业务,6696298,
86,/,宜昌同程旅行社有限公司,宜昌市伍家岗区夷陵大道202-1号,国内旅游业务、入境旅游业务,13907209905,
87,/,宜昌人兴旅行社有限责任公司,秭归县茅坪镇长宁大道23－B号,国内旅游业务、入境旅游业务,2665555,
88,/,宜昌畅游旅行社有限责任公司,宜昌市火车东站二楼出站口,国内旅游业务、入境旅游业务,,
89,/,宜昌韵之旅旅行社有限公司,宜昌市夷陵区夷兴大道106号,国内旅游业务、入境旅游业务,7713626,
90,/,宜昌印象旅行社有限公司,湖北省宜昌市西陵区西陵二路22号1栋21楼2101室,国内旅游业务、入境旅游业务,6281676,
91,/,宜昌稻花香旅行社有限公司,宜昌市夷陵区龙泉镇龙泉村16组,国内旅游业务、入境旅游业务,7720999 7785333,
92,/,宜昌指南针旅行社有限公司,宜昌市西陵区珍珠路56-17-1101号,国内旅游业务、入境旅游业务,6223531,
93,/,宜昌汇丰旅行社有限公司,宜昌市西陵区珍珠路69号（盈嘉酒店21楼）,国内旅游业务、入境旅游业务,6363444,
94,/,湖北乐乐兔旅业有限公司,宜昌市西陵区西陵一路19号亚洲广场B座2605,国内旅游业务、入境旅游业务,6238111 6852208,
95,/,湖北行歌旅行社有限责任公司,宜昌市点军区将军路1号三峡非遗in巷14-201号铺位,国内旅游业务、入境旅游业务,5319801 5335806,
96,/,宜昌悦游旅行社有限公司,宜昌市伍家岗区城东大道112号长江国际文化广场2栋1205室,国内旅游业务、入境旅游业务,6233811,
97,/,湖北九海国际旅行社有限责任公司,宜昌市夷陵区小溪塔冯家湾望江路1号（中核半岛城邦0017幢206）,国内旅游业务、入境旅游业务,7853799,
98,/,至禧（湖北）国际旅行社有限公司,宜昌市西陵区东山大道101号,国内旅游业务、入境旅游业务,6222165,
99,/,宜昌龙锦旅行社有限公司,宜昌市伍家岗区沿江大道130号御江一品1栋1单元1605室,国内旅游业务、入境旅游业务,6971281,
100,/,宜昌嘉年华旅行社有限公司,湖北省宜昌市西陵区西陵一路6号,国内旅游业务、入境旅游业务,6930800,
101,/,湖北省高峡平湖游船有限责任公司,秭归县茅坪镇平湖大道13号,国内旅游业务、入境旅游业务,15717200135,
102,/,湖北悦诚国际旅行社有限公司,湖北省宜昌市西陵区西陵二路22号1栋12楼1203室,国内旅游业务、入境旅游业务,6386566 6099713,
103,/,宜昌欧美嘉旅行社有限公司,宜昌市伍家岗区沿江大道特168-7号C座2006,国内旅游业务、入境旅游业务,6588781 6941007,
104,/,宜昌万景旅行社有限公司,宜昌市西陵区西陵一路19-1-2-1709号（亚洲广场B座1709）,国内旅游业务、入境旅游业务,6443535,
105,/,宜昌景程国际旅行社有限公司,宜昌市西陵区解放路52号（三峡商城A座1666室）,国内旅游业务、入境旅游业务,6731168 6253036,
106,/,湖北硒恩假期国际旅行社有限公司,宜昌高新区发展大道11号,国内旅游业务、入境旅游业务,6363689  6596456,
107,/,湖北动感国际旅行社有限公司,宜昌市伍家岗区香山福久源办公大楼1601,国内旅游业务、入境旅游业务,6682020 6222030,
108,/,宜昌天美旅行社有限公司,宜昌市西陵区樵湖路9号,国内旅游业务、入境旅游业务,6725498 6725491,
109,/,湖北信趣游国际旅行社有限公司,宜昌市伍家岗区胜利三路与沿江大道转角处（御江一品1号楼1单元18层011803房） ,国内旅游业务、入境旅游业务,6225588 6225577,
110,/,湖北和之旅国际旅行社有限责任公司,宜昌市西陵区东山大道2-1号,国内旅游业务、入境旅游业务,6713893 6713892,
111,/,宜昌随旅旅行社有限公司,湖北省宜昌市枝江市马家店民主大道东侧,国内旅游业务、入境旅游业务,4205468,
112,/,湖北三江天龙湾旅行社有限公司,湖北省宜都市陆城体育路1号,国内旅游业务、入境旅游业务,4666598 4883888,
113,/,星际国际旅行社（宜昌）有限责任公司,湖北省宜昌市伍家岗区沿江大道特168-5号,国内旅游业务、入境旅游业务,6693592,
114,/,宜昌开心假期国际旅行社有限公司,湖北省宜昌市西陵区云集路45-1号,国内旅游业务、入境旅游业务,6256838 6470883,
115,/,宜昌探索假日国际旅行社有限公司,湖北省宜昌市西陵区解放路52号时代广场A座1808室,国内旅游业务、入境旅游业务,6775008 6908785,
116,/,湖北欢途国际旅行社有限公司,宜昌市伍家岗区沿江大道特168-7号,国内旅游业务、入境旅游业务,6332000 6621000,
117,/,湖北柚子旅行社有限责任公司,中国（湖北）自贸区宜昌片区汕头路16号东山康城1-2108号,国内旅游业务、入境旅游业务,6036313 6037511,
118,/,宜昌领头羊旅行社有限公司,宜昌市伍家岗区伍家乡共强村东城花园1-3-601号,国内旅游业务、入境旅游业务,6263320 6682308,
119,/,湖北鑫辰国际旅行社有限公司,远安县鸣凤镇安泰大道1号航天花园12号楼107铺、10铺8、109铺,国内旅游业务、入境旅游业务,3680666 3683888,
120,/,宜昌益美圣国际旅行社有限公司,宜昌市伍家岗区同强路万豪中心C区3号楼15层001519号,国内旅游业务、入境旅游业务,6360558 6360555,
121,/,湖北途安旅行社有限公司,枝江市马家店街办迎宾大道36号,国内旅游业务、入境旅游业务,4910293 4910294,
122,/,湖北灵秀南郡国际旅行社有限公司,宜昌市夷陵区太平溪镇高峡大道30号,国内旅游业务、入境旅游业务,7511105 7511106,
123,/,宜昌笨鸟旅行社有限公司,秭归县茅坪镇丹阳路11号,国内旅游业务、入境旅游业务,2884919,
