,xsq,sj,zhzs,zdzs
675,长阳土家族自治县,2021-03,2.97,0.91
676,长阳土家族自治县,2021-04,2.7,0.69
677,长阳土家族自治县,2021-05,2.92,0.79
678,长阳土家族自治县,2021-06,2.53,1.0
679,长阳土家族自治县,2021-07,1.61,0.63
680,长阳土家族自治县,2021-08,2.05,0.77
681,长阳土家族自治县,2021-09,2.48,0.81
682,长阳土家族自治县,2021-11,2.92,1.0
683,长阳土家族自治县,2021-12,4.42,1.74
684,长阳土家族自治县,2022-01,3.7,1.45
685,长阳土家族自治县,2022-02,3.33,1.26
686,长阳土家族自治县,2022-03,3.08,1.0
687,长阳土家族自治县,2022-04,2.88,0.8
688,长阳土家族自治县,2022-05,3.08,0.89
689,长阳土家族自治县,2022-06,2.19,0.72
690,长阳土家族自治县,2022-07,2.03,0.74
691,长阳土家族自治县,2022-08,2.42,0.98
692,长阳土家族自治县,2022-09,3.09,1.09
693,长阳土家族自治县,2022-11,3.48,1.23
694,长阳土家族自治县,2022-12,5.32,2.2
695,长阳土家族自治县,2023-01,6.35,2.86
696,长阳土家族自治县,2023-02,4.87,1.97
697,长阳土家族自治县,2023-03,3.49,1.06
698,高新区,2021-01,4.42,1.5550000000000002
699,高新区,2021-02,4.04,1.6
700,高新区,2021-03,3.92,1.31
701,高新区,2021-04,3.47,1.03
702,高新区,2021-05,3.71,0.97
703,高新区,2021-06,2.97,1.19
704,高新区,2021-07,2.32,0.9
705,高新区,2021-08,2.58,0.88
706,高新区,2021-09,2.79,1.02
707,高新区,2021-11,3.5,0.91
708,高新区,2021-12,4.72,1.63
709,高新区,2022-01,4.165,1.565
710,高新区,2022-02,3.86,1.26
711,高新区,2022-03,3.79,1.0
712,高新区,2022-04,3.32,1.01
713,高新区,2022-05,3.23,1.11
714,高新区,2022-06,2.89,1.11
715,高新区,2022-07,2.38,0.92
716,高新区,2022-08,2.64,0.99
717,高新区,2022-09,3.22,1.11
718,高新区,2022-11,3.88,1.09
719,高新区,2022-12,5.74,2.2
720,高新区,2023-01,3.06,0.91
721,高新区,2023-02,6.6,2.755
722,高新区,2023-03,4.14,1.2
723,高新区,2023-04,3.52,0.98
724,高新区,2023-05,3.12,0.99
725,高新区,2023-06,2.81,1.09
726,高新区,2023-07,2.56,0.98
727,高新区,2023-08,2.9,1.12
728,高新区,2023-09,2.71,1.01
729,高新区,2024-11,3.83,1.09
