xh,px,xsq,bynd,bysj
105,9.0,宜都市,110,2024年7月
106,10.0,*西陵区,119,2024年7月
107,11.0,*高新区,120,2024年7月
108,12.0,*猇亭区,122,2024年7月
109,13.0,*夷陵区,125,2024年7月
110,14.0,*点军区,130,2024年7月
111,7.171428571428572,国家考核区域,120,2024年7月
112,7.171428571428572,全市平均,109,2024年7月
113,1.0,五峰县,108,2024年8月
114,2.0,兴山县,118,2024年8月
115,3.0,枝江市,132,2024年8月
116,4.0,远安县,136,2024年8月
117,5.0,秭归县,138,2024年8月
118,6.0,当阳市,144,2024年8月
119,7.0,宜都市,144,2024年8月
120,8.0,*西陵区,151,2024年8月
121,9.0,*点军区,152,2024年8月
122,10.0,长阳县,152,2024年8月
123,11.0,*伍家岗区,152,2024年8月
124,12.0,*夷陵区,153,2024年8月
125,13.0,*猇亭区,157,2024年8月
126,14.0,*高新区,163,2024年8月
127,7.171428571428572,国家考核区域,154,2024年8月
128,7.171428571428572,全市平均,143,2024年8月
129,1.0,五峰县,140,2024年9月
130,2.0,兴山县,140,2024年9月
131,3.0,枝江市,167,2024年9月
132,4.0,*西陵区,167,2024年9月
133,5.0,当阳市,167,2024年9月
134,6.0,远安县,168,2024年9月
135,7.0,秭归县,169,2024年9月
136,8.0,宜都市,175,2024年9月
137,9.0,*夷陵区,176,2024年9月
138,10.0,*伍家岗区,181,2024年9月
139,11.0,长阳县,183,2024年9月
140,12.0,*点军区,186,2024年9月
141,13.0,*猇亭区,187,2024年9月
142,14.0,*高新区,192,2024年9月
143,7.171428571428572,国家考核区域,181,2024年9月
144,7.171428571428572,全市平均,171,2024年9月
145,1.0,五峰县,109,2024年10月
146,2.0,兴山县,111,2024年10月
147,3.0,秭归县,124,2024年10月
148,4.0,*西陵区,127,2024年10月
149,5.0,远安县,132,2024年10月
150,6.0,当阳市,134,2024年10月
151,7.0,宜都市,138,2024年10月
152,8.0,*夷陵区,140,2024年10月
153,9.0,*伍家岗区,142,2024年10月
154,10.0,枝江市,144,2024年10月
155,11.0,长阳县,144,2024年10月
156,12.0,*点军区,146,2024年10月
157,13.0,*猇亭区,150,2024年10月
158,14.0,*高新区,154,2024年10月
159,7.171428571428572,国家考核区域,143,2024年10月
160,7.171428571428572,全市平均,135,2024年10月
161,1.0,兴山县,87,2024年11月
162,2.0,五峰县,108,2024年11月
163,3.0,远安县,113,2024年11月
164,4.0,秭归县,115,2024年11月
165,5.0,当阳市,122,2024年11月
166,6.0,枝江市,124,2024年11月
167,7.0,宜都市,125,2024年11月
168,8.0,西陵区,126,2024年11月
169,9.0,伍家岗区,128,2024年11月
170,10.0,夷陵区,132,2024年11月
171,11.0,长阳县,135,2024年11月
172,11.0,猇亭区,135,2024年11月
173,12.0,点军区,137,2024年11月
174,13.0,高新区,139,2024年11月
175,7.171428571428572,国家考核区域,133,2024年11月
176,7.171428571428572,全市平均,123,2024年11月
177,1.0,*西陵区,72,2024年12月
178,2.0,兴山县,73,2024年12月
179,3.0,宜都市,76,2024年12月
180,3.0,秭归县,76,2024年12月
181,5.0,*夷陵区,80,2024年12月
182,6.0,*伍家岗区,82,2024年12月
183,7.0,枝江市,84,2024年12月
184,7.0,五峰县,84,2024年12月
185,8.0,远安县,85,2024年12月
186,9.0,当阳市,86,2024年12月
187,10.0,长阳县,89,2024年12月
188,11.0,*高新区,92,2024年12月
189,11.0,*猇亭区,92,2024年12月
190,12.0,*点军区,93,2024年12月
191,7.171428571428572,国家考核区域,84,2024年12月
192,7.171428571428572,全市平均,83,2024年12月
193,1.0,兴山县,81,2025年1月
194,2.0,五峰县,95,2025年1月
195,3.0,当阳市,100,2025年1月
196,4.0,*西陵区,102,2025年1月
